komentar,like,waktu,komentar_clean,sentimen
amin ya Allah,0,2026-03-13 18:41:34 UTC,amin ya allah,positif
"Pertolongan pertama jika terkena air keras adalah membilas area yang terkena dengan air mengalir selama minimal 15 menit. Hindari mengoleskan bahan kimia seperti odol atau mentega, dan segera ganti pakaian yang terkontaminasi.
Langkah-Langkah Pertolongan Pertama
1. Bilas dengan air mengalir: Siram area yang terkena air bersih selama 15-45 menit untuk mengurangi luka bakar kimiawi.
2. Lepaskan pakaian dan perhiasan: Segera buang pakaian atau perhiasan yang terkena cairan kimia untuk mencegah kerusakan lebih lanjut.
3. Lindungi luka: Tutupi luka dengan kasa steril atau kain bersih tanpa mengikat terlalu kencang.
4. Segera ke dokter: Setelah langkah awal, segera cari bantuan medis untuk penanganan lebih lanjut.",10,2026-03-13 18:15:22 UTC,pertolongan terkena air keras membilas area terkena air mengalir minimal menit hindari mengoleskan bahan kimia odol mentega ganti pakaian terkontaminasi langkahlangkah pertolongan bilas air mengalir siram area terkena air bersih menit mengurangi luka bakar kimiawi lepaskan pakaian perhiasan buang pakaian perhiasan terkena cairan kimia mencegah kerusakan lindungi luka tutupi luka kasa steril kain bersih mengikat kencang dokter langkah cari bantuan medis penanganan,positif
terima kasih bnyk infonya ...,0,2026-03-13 18:16:56 UTC,terima kasih bnyk infonya,positif
ya allah orang jahat bgt knapa sih 😭😭😭,6,2026-03-14 04:41:14 UTC,ya allah orang jahat bgt knapa sih,negatif
iya gw ga ngerti lagi biar apasih anjir,1,2026-03-14 04:41:57 UTC,iya gw ga ngerti biar apasih anjir,netral
air keras harus segera di larang penjualan,6,2026-03-14 00:57:28 UTC,air keras larang penjualan,netral
"Benar kak, ngeri kalau ditangan yg salah",0,2026-03-14 01:00:58 UTC,kak ngeri ditangan yg salah,netral
gilaa bgt ya skrng yg berani bersuara dibungkam 😐,6,2026-03-13 21:19:29 UTC,gilaa bgt ya skrng yg berani bersuara dibungkam,netral
dzolim,0,2026-03-13 21:19:39 UTC,dzolim,netral
tolonglah pemerintah air keras jgn di jual bebas,16,2026-03-14 07:16:49 UTC,tolonglah pemerintah air keras jgn jual bebas,negatif
iya udah tau membahayakan malah di jual bebas😔,3,2026-03-14 07:18:54 UTC,iya udah tau membahayakan jual bebas,netral
Jaman sekarang bukan takut hantu tapi takut orang 😭,40,2026-03-13 22:45:51 UTC,jaman takut hantu takut orang,netral
Nangis banget liatnya. Ga ngebayangin perrih nya.. yallahh jahat banget,40,2026-03-13 22:10:49 UTC,nangis banget liatnya ga ngebayangin perrih nya yallahh jahat banget,negatif
"apa2 air keras , astaga. org baek gampang bgt disakitin.",111,2026-03-13 22:06:33 UTC,air keras astaga org baek gampang bgt disakitin,netral
"rekaman cctv sudah ada,harusnya bukal hal susah buat aparat melacak pelaku.
aparat kita sudah pintar pintar dan didukung oleh teknologi yang canggih juga.",37,2026-03-13 19:02:29 UTC,rekaman cctv adaharusnya bukal susah aparat melacak pelaku aparat pintar pintar didukung teknologi canggih,positif
"ya Allah mudah mudahan beliau bapak Andre Yunus segera pulih
🤲🥺
aamiin ya rabbal'alamim 🤲🥺
GK sanggup dengar teriakan beliau kesakitan ya Allah🥺😭",33,2026-03-16 15:49:31 UTC,ya allah mudah mudahan beliau andre yunus pulih aamiin ya rabbalalamim gk sanggup dengar teriakan beliau kesakitan ya allah,positif
Fix air keras ga boleh d jual bebas,34,2026-03-13 21:28:12 UTC,fix air keras ga d jual bebas,netral
ya Allah jahat amat sih,26,2026-03-13 19:11:35 UTC,ya allah jahat sih,negatif
Kasian cuy gak kebayang istri nya nungguin pulang sama anaknya kasian banget 😭,24,2026-03-13 17:20:23 UTC,kasian cuy gak kebayang istri nya nungguin pulang anaknya kasian banget,netral
"Ya Allah Bagilah Kesembuhan untuk Andri yunus..Dan Smg Pelaku Yg Menyuram DAPAT SEGERA DI HUKUM DG KARMANYA YA ALLAH
AAMIIN, AAMIIN, YARABBAL'ALAAMIIN 🤲",45,2026-03-13 22:37:01 UTC,ya allah bagilah kesembuhan andri yunusdan smg pelaku yg menyuram hukum dg karmanya ya allah aamiin aamiin yarabbalalaamiin,positif
"pembelian air keras harus diperketat lagi deh, bahaya banget disalahgunakan gini",22,2026-03-15 11:16:46 UTC,pembelian air keras diperketat deh bahaya banget disalahgunakan gini,netral
"pak lekas sembuh yaa, dan semoga pelakunya cepat tertangkap. sedih liatnya🥹",23,2026-03-13 17:13:46 UTC,lekas sembuh yaa semoga pelakunya cepat tertangkap sedih liatnya,positif
"Langkah-langkah Penanganan Pertama:
Bilas dengan Air Mengalir (Paling Utama): Siram area yang terkena dengan air bersih mengalir selama minimal 10-20 menit, atau hingga 30 menit jika perlu.
Lepaskan Pakaian dan Perhiasan: Buka pakaian, jam tangan, atau cincin yang terkena cairan kimia segera.
Amankan Diri (Dry Chemical): Jika air keras berbentuk bubuk/kering, sikat atau bersihkan dulu sebelum dibilas air, karena beberapa zat kimia bereaksi berbahaya jika kena air.
Tutup Luka: Tutup area luka secara longgar dengan kasa steril atau kain bersih untuk menghindari infeksi.
Jangan Gunakan Es Batu: Hindari penggunaan es batu atau air es karena dapat memperparah kerusakan kulit.
Jangan Oleskan Apapun: Jangan mengoleskan pasta gigi, mentega, atau salep tanpa resep sebelum ditangani petugas medis",19,2026-03-13 17:21:15 UTC,langkahlangkah penanganan bilas air mengalir utama siram area terkena air bersih mengalir minimal menit menit lepaskan pakaian perhiasan buka pakaian jam tangan cincin terkena cairan kimia amankan dry chemical air keras berbentuk bubukkering sikat bersihkan dibilas air zat kimia bereaksi berbahaya kena air tutup luka tutup area luka longgar kasa steril kain bersih menghindari infeksi es batu hindari penggunaan es batu air es memperparah kerusakan kulit oleskan apapun mengoleskan pasta gigi mentega salep resep ditangani petugas medis,negatif
pasti yang nolongin awalnya bingung ada apa.,19,2026-03-13 17:18:57 UTC,nolongin bingung,netral
"yang komen coba dibaca dengan jelas captionnya, jangan hanya melihat videonya saja lalu berkomentar yang engga2",5,2026-03-13 18:46:33 UTC,komen coba dibaca captionnya videonya berkomentar engga,netral
Di paksa sehat di negara yg sakit,5,2026-03-13 18:16:52 UTC,paksa sehat negara yg sakit,positif
syulit emang,0,2026-03-13 18:57:54 UTC,syulit emang,netral
"ini lah Napa pentingnya jaga ucapan, gw selama ini Alhamdulillah ga pernah punya musuh semua orang gw baikin semua, kita ga tau mungkin orng di video",5,2026-03-13 18:22:46 UTC,napa jaga ucapan gw alhamdulillah ga musuh orang gw baikin ga tau orng video,positif
"rill bg jaman sekarang ini lebih mengerikan berurusan sama manusia, daripada sama setan.",6,2026-03-13 18:25:15 UTC,rill bg jaman mengerikan berurusan manusia setan,netral
Baca caption makanya,2,2026-03-13 18:26:13 UTC,baca caption,netral
"@𝒜:Korban adalah salah satu aktivis HAM kak, pernah menggrebek saat dpr rapat RUU TNI di Fairmont, sudah jelas ya seharusnya motif terjadinya penyiraman ini, jadi bukan karena dendam atau apa.",0,2026-03-13 19:39:23 UTC,korban salah aktivis ham kak menggrebek dpr rapat ruu tni fairmont ya motif penyiraman dendam,netral
"takut bgt sama org iri dengki dia bisa melakukan apa saja,",0,2026-03-13 18:24:55 UTC,takut bgt org iri dengki,netral
itu memiliki perselisihan di antara mereka yg melakukan hal itu ke si korban,0,2026-03-13 18:23:22 UTC,memiliki perselisihan yg si korban,netral
sebaiknya barang2 spt ini tidak dijual secara bebas.,5,2026-03-13 17:45:22 UTC,barang spt dijual bebas,netral
biar apa sih kayak gitu?,5,2026-03-13 17:35:51 UTC,biar sih kayak gitu,netral
[Sticker] ,5,2026-03-13 17:25:14 UTC,sticker,netral
"ya allah ,gk tega denger teriakannya 🥺 semoga masih selamat ,jadi takut ya naik motor kmna²",5,2026-03-13 17:24:23 UTC,ya allah gk tega denger teriakannya semoga selamat takut ya motor kmna,positif
jahat bgtt ya allahh🥺🥺,5,2026-03-13 17:20:25 UTC,jahat bgtt ya allahh,negatif
"YA ALLAH JAHAT BGT SIH, bayangin cape baru pulang kerja 🥺🥺💔",5,2026-03-13 17:20:07 UTC,ya allah jahat bgt sih bayangin cape pulang kerja,negatif
maksudnya apa sih orang orang begitu jahat banget,5,2026-03-13 17:18:40 UTC,maksudnya sih orang orang jahat banget,negatif
"gampang itu kalo polisi bener nangkep udh jelas ada CCTV nya, klo bener mau nangkep 1 x 24 jam jg ketangkep udh jls ada CCTV",5,2026-03-13 17:17:13 UTC,gampang kalo polisi bener nangkep udh cctv nya klo bener nangkep x jam jg ketangkep udh jls cctv,negatif
guys jangan jadi orang jahat dong🥹,4,2026-03-19 15:33:36 UTC,guys orang jahat,negatif
méo hiểu gì luôn,4,2026-03-15 21:34:17 UTC,mo hiu g lun,netral
ya alloh bimbinglah keluarga ku dan anak anak ku dari orang jahat 🤲🤲,4,2026-03-15 21:03:47 UTC,ya alloh bimbinglah keluarga ku anak anak ku orang jahat,negatif
smoga cepat sembuh 🤲,4,2026-03-15 20:03:09 UTC,smoga cepat sembuh,positif
[Sticker] Can some explain what happened in English,4,2026-03-15 17:58:55 UTC,sticker can some explain what happened in english,netral
"the video shows that two people poured acid on a motorcyclist, causing the rider to scream in pain, which made people around the area come closer",0,2026-03-15 18:06:16 UTC,the video shows that two people poured acid on a motorcyclist causing the rider to scream in pain which made people around the area come closer,netral
"So, when the person was riding his motorbike, another driver threw acid at him, causing the motorbike rider to suffer terrible burns.
hope this help u",0,2026-03-15 18:04:46 UTC,so when the person was riding his motorbike another driver threw acid at him causing the motorbike rider to suffer terrible burns hope this help u,netral
"Andrie Yunus is an Indonesian activist from Kontras, he got attacked by two guys on a motorcycle who threw acid at him while he was going home at night.",0,2026-03-15 18:01:52 UTC,andrie yunus is an indonesian activist from kontras he got attacked by two guys on a motorcycle who threw acid at him while he was going home at night,netral
The person was splashed with acid.,0,2026-03-15 18:00:12 UTC,the person was splashed with acid,netral
This case happened in Indonesia. A human rights activist who often speaks out about human rights and recently criticized the return of military influence in government was attacked with strong acid by “unknown people”. The attack happened when he had just returned home after being a guest on a podcast discussing the risks of increasing military power.,1,2026-03-15 20:03:37 UTC,this case happened in indonesia a human rights activist who often speaks out about human rights and recently criticized the return of military influence in government was attacked with strong acid by unknown people the attack happened when he had just returned home after being a guest on a podcast discussing the risks of increasing military power,netral
Sorry Andre Yunus,4,2026-03-15 17:03:34 UTC,sorry andre yunus,netral
"Kasian yaallah,, nauzubillah... 😭😭",4,2026-03-15 15:08:48 UTC,kasian yaallah nauzubillah,netral
Can someone understand me what’s going on? Why is he shouting?,4,2026-03-15 14:44:25 UTC,can someone understand me whats going on why is he shouting,netral
"Here is the English translation of the caption:
“Coordinator of the Workers’ Agency of KontraS, Dimas Bagus Arya, asked law-enforcement authorities to investigate this incident thoroughly. He hopes the police can reveal the perpetrator and the motive behind the acid attack.
‘This incident must immediately receive wide attention from various parties, including law-enforcement institutions and civil society. The police should promptly conduct an investigation to uncover the perpetrator and the motive behind the attack. Considering that acid attacks on victims can cause very serious and even fatal injuries,’ said Dimas.",4,2026-03-15 14:38:43 UTC,here is the english translation of the caption coordinator of the workers agency of kontras dimas bagus arya asked lawenforcement authorities to investigate this incident thoroughly he hopes the police can reveal the perpetrator and the motive behind the acid attack this incident must immediately receive wide attention from various parties including lawenforcement institutions and civil society the police should promptly conduct an investigation to uncover the perpetrator and the motive behind the attack considering that acid attacks on victims can cause very serious and even fatal injuries said dimas,netral
What happened please I don’t understand nothing on the comments section,4,2026-03-15 14:14:01 UTC,what happened please i dont understand nothing on the comments section,netral
@f: He was an activist from Indonesia. Someone poured acid on him for unknown reasons. People speculated that it was an act of terrorism and silencing him because the victim was an activist.,1,2026-03-15 14:16:39 UTC,he was an activist from indonesia someone poured acid on him for unknown reasons people speculated that it was an act of terrorism and silencing him because the victim was an activist,netral
"Oh my god may Allah heals him, and thanks for the respond 🙏",2,2026-03-15 15:00:18 UTC,oh my god may allah heals him and thanks for the respond,netral
Ofc,1,2026-03-15 16:27:59 UTC,ofc,netral
This case happened in Indonesia. A human rights activist who often speaks out about human rights and recently criticized the return of military influence in government was attacked with strong acid by “unknown people”. The attack happened when he had just returned home after being a guest on a podcast discussing the risks of increasing military power.,1,2026-03-15 20:09:28 UTC,this case happened in indonesia a human rights activist who often speaks out about human rights and recently criticized the return of military influence in government was attacked with strong acid by unknown people the attack happened when he had just returned home after being a guest on a podcast discussing the risks of increasing military power,netral
"Thank you for the reply, I hope he’s okay",0,2026-03-15 20:52:08 UTC,thank you for the reply i hope hes okay,netral
he's attacked with acid by unknown,0,2026-03-15 14:16:08 UTC,hes attacked with acid by unknown,netral
I think the man that scream was being splashed in face with acud,0,2026-03-15 14:16:04 UTC,i think the man that scream was being splashed in face with acud,netral
Acid*,0,2026-03-15 14:16:08 UTC,acid,netral
ya Allah lindungilah kami semua ya robb,4,2026-03-15 13:22:16 UTC,ya allah lindungilah ya robb,positif
"ya Allah jauhkanlah keluargaku dari mara bahaya , Aamiin...",4,2026-03-15 13:18:18 UTC,ya allah jauhkanlah keluargaku mara bahaya aamiin,positif
Ya Allah jauhkan hamba dari musibah ini amin yallah🤲🏻🤲🏻,4,2026-03-15 12:57:37 UTC,ya allah jauhkan hamba musibah amin yallah,positif
"ya Allah, lindungi anak2 dan saudara2 ku dari orang jahat",4,2026-03-15 11:49:23 UTC,ya allah lindungi anak saudara ku orang jahat,positif
amin bu doain saya juga ya bu🙏,0,2026-03-15 11:50:31 UTC,amin bu doain ya bu,positif
cctv sangat jelas harusnya sudah ketangkap,4,2026-03-15 10:20:10 UTC,cctv ketangkap,netral
siempre me cambian de server 💔,4,2026-03-15 07:36:44 UTC,siempre me cambian de server,netral
[Sticker] It seems am lost what's going on here,4,2026-03-15 07:20:21 UTC,sticker it seems am lost whats going on here,netral
[Sticker] me scrolling down looking for the comments in English,4,2026-03-15 07:18:39 UTC,sticker me scrolling down looking for the comments in english,netral
What happened,4,2026-03-15 06:02:25 UTC,what happened,netral
lindungilah kluarga kmi y Allah dmn pun berada,4,2026-03-15 05:38:11 UTC,lindungilah kluarga kmi y allah dmn,positif
What happened,4,2026-03-15 05:06:08 UTC,what happened,netral
a stranger threw sulfuric acid towards a kontraS civil activist named adrie yunus that protects human rights and represent missing people (such as mysterious missing person thats probably threathened with violence/power..,0,2026-03-15 10:42:33 UTC,a stranger threw sulfuric acid towards a kontras civil activist named adrie yunus that protects human rights and represent missing people such as mysterious missing person thats probably threathened with violencepower,netral
Wow 😳,0,2026-03-15 15:39:53 UTC,wow,netral
no English comments damn,4,2026-03-15 04:59:00 UTC,no english comments damn,netral
fr😭,0,2026-03-15 05:01:18 UTC,fr,netral
I’m the English comment you’re looking for and no I don’t know what going on too,4,2026-03-15 04:51:01 UTC,im the english comment youre looking for and no i dont know what going on too,netral
I can’t find the English comment I’m looking for. What’s happening here,4,2026-03-15 04:46:41 UTC,i cant find the english comment im looking for whats happening here,netral
I seriously don't understand what's happening.,4,2026-03-15 01:25:46 UTC,i seriously dont understand whats happening,netral
They threw acid on his face.,0,2026-03-15 01:29:17 UTC,they threw acid on his face,netral
Activists were attacked with acid.,0,2026-03-15 01:29:16 UTC,activists were attacked with acid,netral
Can someone translate in English please,4,2026-03-15 01:24:34 UTC,can someone translate in english please,netral
a stranger threw sulfuric acid towards a kontraS civil activist named adrie yunus that protects human rights and represent missing people (such as mysterious missing person thats probably threathened with violence/power..,1,2026-03-15 01:30:57 UTC,a stranger threw sulfuric acid towards a kontras civil activist named adrie yunus that protects human rights and represent missing people such as mysterious missing person thats probably threathened with violencepower,netral
please who can tell me in English💔,4,2026-03-15 00:37:28 UTC,please who can tell me in english,netral
was splashed with acid by an unknown person,0,2026-03-15 00:40:37 UTC,was splashed with acid by an unknown person,netral
He kena water strong,0,2026-03-15 00:40:35 UTC,he kena water strong,netral
in english,1,2026-03-15 00:45:17 UTC,in english,netral
yaa allah jauhkanlah aku dr marabahaya n malapetaka... aamiin,4,2026-03-15 00:34:45 UTC,yaa allah jauhkanlah dr marabahaya n malapetaka aamiin,positif
"Can someone explain to me what happened? I don't understand the comments, thanks.",4,2026-03-15 00:26:47 UTC,can someone explain to me what happened i dont understand the comments thanks,netral
acid,0,2026-03-15 00:30:56 UTC,acid,netral
"so basically, a person on Central Jakarta was being poured hard water by strangers.",0,2026-03-15 00:30:44 UTC,so basically a person on central jakarta was being poured hard water by strangers,netral
some random dudes just throwing alcohol at random people at night,1,2026-03-15 00:30:31 UTC,some random dudes just throwing alcohol at random people at night,netral
please let me know what's going on,4,2026-03-15 00:12:53 UTC,please let me know whats going on,netral
[Sticker] комменти,4,2026-03-15 00:07:09 UTC,sticker,netral
WHAT happened?,4,2026-03-14 23:58:00 UTC,what happened,netral
astaghfirullah,4,2026-03-14 23:34:10 UTC,astaghfirullah,netral
Can someone exaplain or translate in English? I dont understand. 😞,4,2026-03-14 23:18:39 UTC,can someone exaplain or translate in english i dont understand,netral
"sy doakan keajaiban tuhan hadir utk mu kak. terjadilah sembuh dan sehat tidak kurang satu apapun.
Tuhan kabulkan doaku untuknya
Aamiin wujud 🙏",4,2026-03-14 23:17:28 UTC,sy doakan keajaiban tuhan hadir utk mu kak sembuh sehat apapun tuhan kabulkan doaku untuknya aamiin wujud,positif
ya Allah tolong beri kesembuhan,4,2026-03-14 22:42:04 UTC,ya allah tolong kesembuhan,positif
i don't understand what happened,4,2026-03-14 22:43:47 UTC,i dont understand what happened,netral
this person was splashed with acid,0,2026-03-14 22:46:37 UTC,this person was splashed with acid,netral
@Pasapdgt:Someone threw acid on a person. It could kill them or leave them permanently disabled. The victim screamed in pain because the acid was burning their body,0,2026-03-14 22:46:25 UTC,someone threw acid on a person it could kill them or leave them permanently disabled the victim screamed in pain because the acid was burning their body,netral
di simbh asid,0,2026-03-14 22:46:25 UTC,simbh asid,netral
ya Allah smoga slamat dan dapat ditangani dokter,4,2026-03-14 22:39:56 UTC,ya allah smoga slamat ditangani dokter,netral
ya Allah lindungi hamba dn hindar kn dr musibah seoerti ini,4,2026-03-14 22:18:59 UTC,ya allah lindungi hamba dn hindar kn dr musibah seoerti,positif
chả hiểu gì,4,2026-03-14 21:58:56 UTC,ch hiu g,netral
ya allah,4,2026-03-14 21:39:21 UTC,ya allah,netral
SUMPAH GAK PAHAMM😁,4,2026-03-14 21:35:12 UTC,sumpah gak pahamm,netral
"stress bgt ya ni negara, org yg menyuarakan kebenaran malah dicelakain",4,2026-03-14 21:09:00 UTC,stress bgt ya ni negara org yg menyuarakan kebenaran dicelakain,positif
sebenernya org kaya gitu tujuannya apasi,4,2026-03-14 17:59:02 UTC,sebenernya org kaya gitu tujuannya apasi,netral
ya allah .. orang pada gak takut sama akhirat ya 😭😭😭 naudzubillah lagi bulan ramadhan orang jahat banget. doa orang sakit terdzolimi mustajab tanpa hisab. lekas sehat bang andre yunus,4,2026-03-14 11:42:14 UTC,ya allah orang gak takut akhirat ya naudzubillah ramadhan orang jahat banget doa orang sakit terdzolimi mustajab hisab lekas sehat bang andre yunus,positif
sedih bgt tinggal di Indonesia😢,4,2026-03-14 11:11:47 UTC,sedih bgt tinggal indonesia,netral
ya Alloh tolongg,4,2026-03-14 10:09:49 UTC,ya alloh tolongg,netral
smoga Allah sembuhkan segera Aamiin ya Rabb🤲🤲🤲,4,2026-03-14 08:38:14 UTC,smoga allah sembuhkan aamiin ya rabb,positif
sakit hati tinggal di indo,4,2026-03-14 06:31:35 UTC,sakit hati tinggal indo,negatif
ya Alloh lekas sembuh ya,4,2026-03-14 03:03:10 UTC,ya alloh lekas sembuh ya,positif
yaallah,4,2026-03-14 02:43:15 UTC,yaallah,netral
ingat novel baswedan kalo yang begini gini,4,2026-03-14 01:05:37 UTC,novel baswedan kalo gini,netral
"sedih banget Ya Allah, jangan banget. apa yang mau dicari di dunia ini sampe segitunya",4,2026-03-14 00:40:10 UTC,sedih banget ya allah banget dicari dunia sampe segitunya,netral
"Penanganan pertama yg bisa di lakuin dlm case ini apa ya, kasian banget teriak kesakitan begini orang-orang jg bingung harus nolonginnga gimana🥺",4,2026-03-14 00:22:52 UTC,penanganan yg lakuin dlm case ya kasian banget teriak kesakitan orangorang jg bingung nolonginnga gimana,netral
udh sejelas itu CCTV nya kalo ga ketangkep sih patut dicurigai siapa dibelakang nya 😢,4,2026-03-14 00:08:48 UTC,udh sejelas cctv nya kalo ga ketangkep sih patut dicurigai dibelakang nya,netral
gamungkin ditangkap. mustahil,0,2026-03-14 00:12:51 UTC,gamungkin ditangkap mustahil,netral
"ya Allah,,,,,",4,2026-03-13 23:49:02 UTC,ya allah,netral
barusan lewat di vt aku yg di atas,4,2026-03-13 23:26:26 UTC,barusan vt yg,netral
Astagfirllah,4,2026-03-13 23:20:27 UTC,astagfirllah,netral
Semoga pak Andri yunus lekas sembuh & beraktivitas kembali dan orang yg melukai p andri cepat ketangkap🤲,4,2026-03-13 23:11:55 UTC,semoga andri yunus lekas sembuh beraktivitas orang yg melukai p andri cepat ketangkap,positif
"dari teriakanya udah kebayang sakitnya kayak apa,😭😭 mudahan bapaknya cepet sembuh",4,2026-03-13 23:11:19 UTC,teriakanya udah kebayang sakitnya kayak mudahan bapaknya cepet sembuh,positif
Semoga lekas sembuh 🤲🥺,4,2026-03-13 23:02:55 UTC,semoga lekas sembuh,positif
"YA ALLAH GAK TEGA LIHATNYA, SEMOGA BAPAKNYA LEKAS SEMBUH , SEMOGA ALLAH MUDAHKAN PENYELIDIKAN NYA PELAKU SEGERA TERTANGKAP 🥹🥹🥹",4,2026-03-13 22:56:57 UTC,ya allah gak tega lihatnya semoga bapaknya lekas sembuh semoga allah mudahkan penyelidikan nya pelaku tertangkap,positif
orang orang pada kenapa si ya allah,4,2026-03-13 22:46:21 UTC,orang orang si ya allah,netral
semoga lekas sembuh.. ya Allah jauhkan lagi dari marabahaya dan orang jahat aamiin,4,2026-03-13 22:38:45 UTC,semoga lekas sembuh ya allah jauhkan marabahaya orang jahat aamiin,positif
ya Allah semoga lekas sembuh,4,2026-03-13 21:45:39 UTC,ya allah semoga lekas sembuh,positif
MOHON DENGAN HORMAT AIR KERAS DILARANG DIJUAL TANPA SURAT DARI KEPOLISIAN,4,2026-03-13 21:14:02 UTC,mohon hormat air keras dilarang dijual surat kepolisian,negatif
amin yaaloh yarobal alamiin 🤲🤲🤲,4,2026-03-13 20:47:47 UTC,amin yaaloh yarobal alamiin,positif
kok amin si,0,2026-03-13 20:52:19 UTC,amin si,positif
lu napa dah malah amin,0,2026-03-13 20:52:14 UTC,lu napa dah amin,positif
"Jika terkena air keras (asam atau basa kuat), segera lakukan langkah-langkah berikut:
1. *Cuci dengan air*: Bilas area yang terkena dengan air yang banyak dan mengalir selama minimal 15-20 menit untuk menghilangkan sisa-sisa air keras.
2. *Lepaskan pakaian yang terkena*: Jika pakaian terkena air keras, segera lepaskan untuk mencegah iritasi lebih lanjut.
3. *Netralkan dengan air*: Jika air keras bersifat asam, gunakan larutan basa lemah seperti baking soda (NaHCO3) untuk menetralkan. Jika air keras bersifat basa, gunakan larutan asam lemah seperti cuka (asam asetat) untuk menetralkan.
4. *Oleskan kream atau salep*: Setelah membersihkan area, oleskan kream atau salep yang mengandung antibiotik untuk mencegah infeksi.
5. *Periksa luka*: Jika luka terlihat parah atau tidak membaik, segera cari bantuan medis.
6. *Jangan digesek*: Jangan menggesek area yang terkena air keras, karena dapat menyebabkan iritasi lebih lanjut.
7. *Cari bantuan medis*: Jika Anda mengalami gejala-gejala seperti nyeri, pembengkakan, atau kesulitan bernapas, segera cari bantuan medis.
Contoh air keras:
- Asam sulfat (H2SO4)
- Asam klorida (HCl)
- Natrium hidroksida (NaOH)
- Kalium hidroksida (KOH)
Pastikan untuk menangani air keras dengan hati-hati dan menggunakan peralatan pelindung diri yang sesuai. 😊",4,2026-03-13 20:31:58 UTC,terkena air keras asam basa kuat lakukan langkahlangkah cuci air bilas area terkena air mengalir minimal menit menghilangkan sisasisa air keras lepaskan pakaian terkena pakaian terkena air keras lepaskan mencegah iritasi netralkan air air keras bersifat asam larutan basa lemah baking soda nahco menetralkan air keras bersifat basa larutan asam lemah cuka asam asetat menetralkan oleskan kream salep membersihkan area oleskan kream salep mengandung antibiotik mencegah infeksi periksa luka luka parah membaik cari bantuan medis digesek menggesek area terkena air keras menyebabkan iritasi cari bantuan medis mengalami gejalagejala nyeri pembengkakan kesulitan bernapas cari bantuan medis contoh air keras asam sulfat hso asam klorida hcl natrium hidroksida naoh kalium hidroksida koh pastikan menangani air keras hatihati peralatan pelindung sesuai,positif
tolong berikan kesembuhan biar sehat kembali aamiin 🙏,4,2026-03-13 20:17:29 UTC,tolong kesembuhan biar sehat aamiin,positif
"jadi takutt, suami aku klo kerja sering pulang larut mlm & lewat jalan sepi, yaallah semoga dijauhkan dri musibah spti inii😔",4,2026-03-13 19:45:38 UTC,takutt suami klo kerja pulang larut mlm jalan sepi yaallah semoga dijauhkan dri musibah spti inii,positif
Ya Allah,4,2026-03-13 19:39:30 UTC,ya allah,netral
"sebisa mungkin jauhkan diri kita dari perselisihan😢🙏,, dan tolong buat UUD untuk pembelian air keras🙏",4,2026-03-13 19:30:30 UTC,sebisa jauhkan perselisihan tolong uud pembelian air keras,netral
setuju,0,2026-03-13 19:36:57 UTC,setuju,positif
Buat undang undang tentang penjualan air keras!!!! Jangan di jual bebas!!!,4,2026-03-13 19:29:39 UTC,undang undang penjualan air keras jual bebas,netral
kan bisa bikin sendiri.,0,2026-03-13 19:35:43 UTC,bikin,netral
"memang tidak di perjual bebaskan,",0,2026-03-13 19:35:42 UTC,perjual bebaskan,netral
nyesel pilih Prabowo,4,2026-03-13 19:28:54 UTC,nyesel pilih prabowo,netral
"Ya Allah segera sembuhkan yang kena musibah, Aamiin",4,2026-03-13 19:25:40 UTC,ya allah sembuhkan kena musibah aamiin,positif
ya Allah,4,2026-03-13 19:11:25 UTC,ya allah,netral
"air keras itu air apa? maaf bertanya kerna bener""gak tau",4,2026-03-13 18:58:31 UTC,air keras air maaf kerna benergak tau,positif
air nya keras😂,1,2026-03-13 19:18:35 UTC,air nya keras,netral
air aki. klw kena kulit bisa meleleh kayak kebakar,1,2026-03-13 19:18:13 UTC,air aki klw kena kulit meleleh kayak kebakar,netral
"air keras itu semacam cairan yg ada asam/basa, gunanya buat mengikis benda. Kaya logam/kain/kulit. Dan kalau kena kulit bisa bahaya, karena dapat ngebuat iritasi, perih dan merah.",0,2026-03-13 19:24:41 UTC,air keras cairan yg asambasa gunanya mengikis benda kaya logamkainkulit kena kulit bahaya ngebuat iritasi perih merah,netral
Es batu air keras kan,0,2026-03-13 19:19:08 UTC,es batu air keras,netral
air HCL kaya sejenis buat ilangin karat pada besi,0,2026-03-13 19:19:02 UTC,air hcl kaya sejenis ilangin karat besi,netral
"cairan asam, yang bisa melarutkan/membakar kulit",0,2026-03-13 19:18:01 UTC,cairan asam melarutkanmembakar kulit,netral
sunlight,0,2026-03-13 19:17:58 UTC,sunlight,netral
asam sulfat,0,2026-03-13 19:17:57 UTC,asam sulfat,netral
@rahmaddani699:cairan kimia sulfuric acid atau larutan asam tinggi yg bisa bikin besi korosif,0,2026-03-13 19:17:34 UTC,cairan kimia sulfuric acid larutan asam yg bikin besi korosif,netral
semacam air panas tapi air keras lebih dari itu,0,2026-03-13 19:17:28 UTC,air panas air keras,netral
es batu contoh nya,0,2026-03-13 19:16:36 UTC,es batu contoh nya,netral
air aki,0,2026-03-13 19:17:42 UTC,air aki,netral
kmpa orang baik sllu d sikir kn,4,2026-03-13 18:54:20 UTC,kmpa orang sllu d sikir kn,netral
